store_nbr,family,rmse,mape,rmsle,n_samples
15.0,4.0,0.04963299838352878,22267456.655202616,0.0,46.0
15.0,19.0,0.04963299838352878,22267456.655202616,0.0,46.0
15.0,20.0,0.04963299838352878,22267456.655202616,0.0,46.0
15.0,31.0,0.04963299838352878,22267456.655202616,0.0,46.0
21.0,4.0,0.04781924905817007,21700984.25206509,0.0,46.0
21.0,20.0,0.04781924905817007,21700984.25206509,0.0,46.0
25.0,1.0,0.04969343998033262,22292025.475566965,0.0,46.0
25.0,4.0,0.04969343998033262,22292025.475566965,0.0,46.0
29.0,4.0,0.0494807090601008,22237582.337454464,0.0,46.0
29.0,20.0,0.0494807090601008,22237582.337454464,0.0,46.0
