store_nbr,family,rmse,mape,rmsle,n_samples
43.0,1.0,1.9554083518653467,139249974.22045305,0.8725449535665187,46.0
43.0,4.0,1.8846175666441327,132395483.65362535,0.8528700029798514,46.0
44.0,1.0,1.5932051825020324,125163156.88264698,0.8122841524660074,46.0
46.0,1.0,1.5701155535115277,124485090.13444977,0.8091328267364832,46.0
44.0,4.0,1.5677900975149608,122627491.1490206,0.804775877913075,46.0
46.0,4.0,1.4912886645562227,116662187.3667087,0.7854229585357672,46.0
45.0,1.0,1.2401827026299572,108998367.87664853,0.7391795696716289,46.0
43.0,17.0,1.4395102318901711,87082643.18177283,0.7077438356101249,46.0
2.0,4.0,0.9574551059126494,96673102.18205638,0.6777245567212352,46.0
45.0,4.0,1.039346145980144,88460743.42351425,0.6692450055187095,46.0
