store_nbr,family,rmse,mape,rmsle,n_samples
43,1,67.87509827362189,818226972.8033686,2.2142791618168447,46.0
43,4,66.74392509496695,777004807.137834,2.180952768013415,46.0
44,1,57.163199302589476,745447738.6074563,2.12900437003079,46.0
44,4,56.907084112588606,731555034.3044767,2.1172680682649805,46.0
46,1,54.885701020249975,733427318.6300576,2.116368495581261,46.0
46,4,53.79742422551912,686193257.9244215,2.073892823578302,46.0
45,1,48.36988133794399,685594256.2152201,2.055910182586939,46.0
47,1,39.151102117413714,621099448.2661649,1.973013795844863,46.0
47,4,39.151102117413714,621099448.2661649,1.973013795844863,46.0
2,4,37.80220919634738,613715421.4920139,1.9646612852121605,46.0
