store_nbr,family,rmse,mape,rmsle,n_samples
43,1,0.22810055909541263,47441937.05563368,0.3893299271791796,46.0
43,4,0.2179868782445847,45068153.62267287,0.3792461679763744,46.0
44,1,0.1817055326702409,42289735.26930856,0.3539818986951375,46.0
46,1,0.17937822919085808,42080697.57186696,0.352263180154253,46.0
44,4,0.17875002207937946,41463865.97168684,0.3508463461146313,46.0
46,4,0.17037966231381702,39511892.89645679,0.3421705405149005,46.0
45,1,0.14295921903765646,37042902.09923505,0.31833300942566856,46.0
43,17,0.1604328953638042,29676266.456850193,0.31100898837677626,46.0
45,4,0.1194264527705872,30191597.319452725,0.2870251708716489,46.0
2,4,0.1113961074567541,33035703.140028585,0.28701514492379326,46.0
