store_nbr,family,rmse,mape,rmsle,n_samples
43.0,1.0,0.365238511234935,60143878.14894967,0.4716475828639612,46.0
43.0,4.0,0.3474896448816239,57312181.917750835,0.4600840213905296,46.0
44.0,1.0,0.2979686591676593,54355208.446150236,0.4347889321372019,46.0
46.0,1.0,0.2947299030912572,54082587.55569872,0.432946963216027,46.0
44.0,4.0,0.29182895143234966,53196067.16576426,0.4302104775091105,46.0
46.0,4.0,0.27980611859390586,50735363.76055427,0.4201298784196833,46.0
45.0,1.0,0.22915951673823387,47041638.32509,0.3884656327615117,46.0
43.0,17.0,0.25977316378931997,38116574.521769576,0.3792915864384379,46.0
2.0,4.0,0.18416745020647796,42323659.166045815,0.35519598883505193,46.0
45.0,4.0,0.19458441416078412,38906697.96864352,0.3542714964852429,46.0
