iter	RMSE
0	2.68897378
1	2.683359966
2	2.678324913
3	2.673787284
4	2.669686494
5	2.66595953
6	2.66251893
7	2.659408367
8	2.656625401
9	2.654070655
10	2.651762608
11	2.649734142
12	2.647815982
13	2.646110171
14	2.644556829
15	2.643198002
16	2.641934781
17	2.640723942
18	2.63965253
19	2.638683943
20	2.637813198
21	2.637017058
22	2.636285078
23	2.635601977
24	2.635013445
25	2.634499455
26	2.633990644
27	2.633554517
28	2.633153757
29	2.632790217
30	2.632443261
31	2.632123216
32	2.631818525
33	2.631521895
34	2.631276845
35	2.631030016
36	2.630803914
37	2.630614117
38	2.63043504
39	2.630274901
40	2.630135953
41	2.630015375
42	2.629906482
43	2.629769671
44	2.629668989
45	2.629534529
46	2.629450959
47	2.629320387
48	2.629211116
49	2.629111662
50	2.629042217
51	2.628977479
52	2.628885726
53	2.628833987
54	2.628779553
55	2.628734057
56	2.628674834
57	2.628614945
58	2.628582023
59	2.628527871
60	2.628477243
61	2.628428756
62	2.628385395
63	2.628345773
64	2.628300467
65	2.628271868
66	2.628236471
67	2.628195425
68	2.628167038
69	2.62814511
70	2.628124421
71	2.628097895
72	2.628077478
73	2.628048232
74	2.628010185
75	2.627993741
76	2.627976393
77	2.627947189
78	2.62793243
79	2.627908994
80	2.62789363
81	2.627870039
82	2.627850522
83	2.627837514
84	2.627822234
85	2.627807542
86	2.627788543
87	2.627776974
88	2.627765463
89	2.627749108
90	2.627735504
91	2.627714346
92	2.627690263
93	2.627670647
94	2.627655816
95	2.627644954
96	2.627634088
97	2.627622781
98	2.627614048
99	2.627599032
100	2.62758947
101	2.627578024
102	2.627559453
103	2.627544382
104	2.627530088
105	2.627513017
106	2.627503689
107	2.627488316
108	2.627479777
109	2.627466415
110	2.627452487
111	2.627438285
112	2.627423845
113	2.627412884
114	2.627394906
115	2.627381606
116	2.627370361
117	2.627357753
118	2.627347103
119	2.627338315
120	2.62732686
121	2.627320349
122	2.627316063
123	2.627302131
124	2.627287762
125	2.627276971
126	2.627268673
127	2.62725969
128	2.627248468
129	2.627239234
130	2.627228591
131	2.627219391
132	2.627207343
133	2.627199871
134	2.627187166
135	2.627178135
136	2.627168087
137	2.627155101
138	2.627146864
139	2.627138244
140	2.627131675
141	2.627123526
142	2.627113616
143	2.627107898
144	2.627099205
145	2.627093861
146	2.627084857
147	2.627077516
148	2.627070027
149	2.627054637
150	2.627041423
151	2.62703136
152	2.627018708
153	2.627008138
154	2.626994686
155	2.626981013
156	2.626971058
157	2.626962491
158	2.626955633
159	2.626946407
160	2.626937644
161	2.626929702
162	2.626919285
163	2.626906949
164	2.626901734
165	2.62689257
166	2.626886294
167	2.626877499
168	2.62687329
169	2.626864521
170	2.626853592
171	2.626848949
172	2.626839292
173	2.626829935
174	2.626820991
175	2.626809986
176	2.626803935
177	2.626796945
178	2.626788588
179	2.626784777
180	2.626779221
181	2.6267758
182	2.626763282
183	2.626753694
184	2.626741578
185	2.626727801
186	2.626718403
187	2.626708303
188	2.626703006
189	2.626697179
190	2.626691946
191	2.626682383
192	2.626671976
193	2.626656677
194	2.626652095
195	2.626642096
196	2.62663295
197	2.62662201
198	2.626618133
199	2.626611914
200	2.626604149
201	2.626602024
202	2.626593277
203	2.626585852
204	2.626572632
205	2.626567741
206	2.626555961
