iter	Passed	Remaining
0	3609	3605685
1	7069	3527462
2	10842	3603371
3	14967	3726827
4	20972	4173483
5	24624	4079519
6	28776	4082136
7	33772	4187785
8	38028	4187380
9	41995	4157564
10	45171	4061349
11	50172	4130878
12	53674	4075126
13	57500	4049664
14	60988	4004915
15	64622	3974263
16	67982	3930970
17	71523	3901999
18	74866	3865458
19	78542	3848561
20	81813	3814052
21	84936	3775812
22	88851	3774262
23	92190	3749067
24	95831	3737409
25	99723	3735788
26	103399	3726212
27	107190	3721046
28	110938	3714540
29	114912	3715493
30	118284	3697329
31	121811	3684800
32	125514	3677955
33	128979	3664524
34	132183	3644500
35	135864	3638136
36	139607	3633579
37	143614	3635711
38	147379	3631570
39	150854	3620519
40	154239	3607707
41	157773	3598735
42	160996	3583107
43	164548	3575194
44	168143	3568388
45	172192	3571121
46	176788	3584664
47	180436	3578657
48	183971	3570556
49	187274	3558223
50	190685	3548251
51	194355	3543253
52	197406	3527253
53	201212	3524949
54	204700	3517132
55	207883	3504322
56	211344	3496450
57	214836	3489233
58	218061	3477901
59	221397	3468559
60	225022	3463874
61	228732	3460506
62	232838	3463016
63	235976	3451161
64	239722	3448312
65	243128	3440630
66	246678	3435086
67	250630	3435115
68	254258	3430648
69	257827	3425424
70	261440	3420815
71	265030	3415953
72	269048	3416544
73	273114	3417617
74	276646	3411967
75	280121	3405684
76	284098	3405494
77	287820	3402186
78	291367	3396834
79	294624	3388181
80	298040	3381470
81	301869	3379460
82	305810	3378653
83	309278	3372609
84	312848	3367724
85	317088	3369990
86	320964	3368282
87	324545	3363473
88	328170	3359139
89	331464	3351478
90	335021	3346537
91	339245	3348201
92	342997	3345146
93	346590	3340537
94	350653	3340435
95	354462	3337856
96	358325	3335752
97	361641	3328578
98	364894	3320910
99	368726	3318538
100	372244	3313348
101	376272	3312672
102	379532	3305249
103	382900	3298834
104	386581	3295143
105	388792	3279063
106	392692	3277331
107	395931	3270103
108	399476	3265442
109	403237	3262561
110	406874	3258661
111	410695	3256226
112	413900	3248939
113	417312	3243324
114	420641	3237110
115	424262	3233169
116	428267	3232135
117	432075	3229580
118	435870	3226904
119	438927	3218799
120	442324	3213246
121	445954	3209408
122	449689	3206320
123	452959	3199940
124	456797	3197580
125	461062	3198166
126	464883	3195617
127	468307	3190342
128	472386	3189526
129	476130	3186411
130	479973	3183947
131	483963	3182425
132	486920	3174135
133	490974	3173013
134	494326	3167349
135	497934	3163345
136	501343	3158095
137	504832	3153376
138	506460	3137140
139	509705	3131048
140	513518	3128458
141	517314	3125744
142	521331	3124341
143	525196	3121999
144	529572	3122649
145	533439	3120255
146	537123	3116779
147	540721	3112802
148	544198	3108140
149	547446	3102196
150	551577	3101255
151	554863	3095554
152	558809	3093537
153	562023	3087480
154	565202	3081264
155	569012	3078505
156	572418	3073560
157	575950	3069306
158	579818	3066837
159	583050	3061016
