feature,importance
transactions,84.96594478841064
roll_std_7,5.03662132959603
roll_mean_14,1.9791895539430127
roll_mean_7,1.0451391863815795
dayofyear,0.5246098719636769
lag_14,0.5084555474036776
lag_28,0.49881911272262675
lag_1,0.45997017626991243
lag_7,0.3764329616062753
onpromotion,0.3032815239823754
dow_sin,0.27450588321522573
lag_364,0.2734143797508333
roll_mean_56,0.22445025812142058
is_any_holiday,0.19645609328409713
lag_42,0.19137643261616252
dow_cos,0.17371744833419117
days_until_payday,0.16015979066241545
day,0.15853472649727765
lag_35,0.15652394356083016
roll_std_90,0.1469844458476203
lag_56,0.1376406633175869
promo_lift_ratio,0.13757031383037505
oil_lag_16,0.13351064296492537
is_weekend,0.13139211369424075
lag_90,0.13122929190324065
oil_rmean_28,0.1271913760225022
roll_mean_28,0.11595636466819817
store_vs_global,0.10909811115504117
dayofweek,0.10877474693707978
roll_std_28,0.09182335569333991
days_since_payday,0.09049296267985546
dayofmonth,0.07600040350790324
doy_sin,0.07421597195683395
roll_std_14,0.07165307756690274
oil_lag_28,0.06259755465900892
year,0.06254750578384866
store_family_vs_global,0.06107579784582758
roll_mean_90,0.06094511990956696
doy_cos,0.05532544138220322
woy_cos,0.05104107941833242
weekofyear,0.04517587513027172
sales_momentum,0.042380276360663424
earthquake_impact,0.03800634052699448
oil_lag_21,0.03789669009648246
store_nbr,0.03291366301290818
lag_365,0.03053948675261338
promo_roll_sum_28,0.02857845880096156
sales_yoy_ratio,0.027517160747683834
lag_371,0.02256772223708586
month,0.017348461670305033
roll_std_56,0.013512962465400452
is_post_eq_week1,0.013254677459372076
promo_lag_28,0.01148756495986886
month_cos,0.009891437465933364
promo_rsum_lag16_win28,0.009442536384918813
woy_sin,0.009356966455135679
promo_rsum_lag16_win14,0.009327379366231583
promo_rsum_lag16_win7,0.00889940446481629
is_holiday_observed,0.0064106673490114995
quarter,0.0056489138928494135
is_additional_holiday,0.005109065713515207
promo_lag_21,0.004965922717257931
promo_roll_sum_7,0.004857816370622193
is_payday_15th,0.004516461729660206
promo_lag_16,0.004212946667535939
is_holiday_weekend,0.0040210319893594255
days_since_earthquake,0.0033053665975937923
month_sin,0.0011734395823839478
is_post_eq_week4,0.0010921217535800188
is_post_eq_week5_8,0.0007622687299647828
is_earthquake_day,0.0005449206301998619
is_payday_window,0.00040417479535725937
is_payday,0.0001439102122335728
is_bridge_day,3.791605283044879e-05
is_post_eq_week2,2.6641791720344582e-05
family,0.0
family_group,0.0
is_post_eq_week3,0.0
is_transferred_flag,0.0
is_work_day_comp,0.0
is_payday_last,0.0
family_vs_global,0.0
