feature,importance
transactions,67.21171133996934
roll_mean_7,6.314246643943772
lag_7,3.9530198476334557
lag_14,3.427745281208326
lag_28,2.2221880527276547
roll_mean_14,2.1865420746651516
roll_mean_28,2.0120357913966957
lag_1,1.9156245696183598
lag_35,1.2411594402154238
oil_lag_28,0.7873699873799807
dayofyear,0.5961879112284588
days_since_payday,0.5766414040910885
lag_42,0.549774832486734
dow_sin,0.4772240940717086
dayofweek,0.4590542322241519
lag_56,0.400678879353536
store_vs_global,0.37673480266030934
store_family_vs_global,0.35343925403393256
days_until_payday,0.34585759507779673
oil_lag_16,0.3454933981251415
roll_mean_90,0.300653242523733
oil_rmean_28,0.25267439521642665
day,0.2420468168154525
is_weekend,0.23503379993990567
doy_sin,0.22129061193957716
dayofmonth,0.2157511394739543
doy_cos,0.19605022201269856
roll_std_7,0.189647497888725
store_nbr,0.18588838441918284
family,0.17590332698739466
lag_90,0.13521412754574666
onpromotion,0.12918434266653817
sales_momentum,0.12814470572083014
lag_364,0.12807595138646266
is_holiday_observed,0.10954020575679273
roll_mean_56,0.10750033606196834
dow_cos,0.10544629526868385
promo_lift_ratio,0.104904452376281
is_any_holiday,0.10204111489558453
oil_lag_21,0.0984775200410493
family_vs_global,0.09770430955681395
woy_cos,0.08431911663945053
weekofyear,0.08312681533465598
sales_yoy_ratio,0.08086682968715724
roll_std_14,0.07297814942121819
roll_std_28,0.04948299581064685
woy_sin,0.04316871556901172
lag_371,0.03896254581861498
month_cos,0.038294573884838284
lag_365,0.03285975319181299
roll_std_90,0.023670568972789918
days_since_earthquake,0.02158701898668233
earthquake_impact,0.020712238247638053
roll_std_56,0.020485710190266303
promo_roll_sum_7,0.01946471952294842
promo_rsum_lag16_win28,0.01817460168460902
promo_rsum_lag16_win14,0.017145857830918144
promo_roll_sum_28,0.01567761661018186
is_payday_15th,0.013637370634087556
is_additional_holiday,0.013519912485278967
month_sin,0.011937429342389852
month,0.010723248733389328
is_payday_window,0.008774775805806042
promo_lag_16,0.007796493837418747
promo_lag_21,0.006181377777885214
promo_rsum_lag16_win7,0.006088096895733621
is_holiday_weekend,0.0054335459438277
is_post_eq_week1,0.0052463383541589735
promo_lag_28,0.005021859891755948
is_post_eq_week5_8,0.002772269796208704
is_bridge_day,0.0021122785063512994
is_transferred_flag,0.0012215715200941482
year,0.0011894283435923616
is_post_eq_week4,0.0009085662313679612
is_payday,0.000806209636946067
quarter,0.0007722680766398554
is_work_day_comp,0.0004597497162746356
is_payday_last,0.0002524431702358536
is_earthquake_day,0.0001455133341855059
is_post_eq_week2,9.109216733763886e-05
is_post_eq_week3,2.8101790749541788e-05
family_group,0.0
