feature,importance
roll_mean_7,16.710104446441207
roll_mean_14,16.388064354456276
transactions,7.663377486387101
lag_7,7.636003151264269
roll_mean_28,5.790587787782732
lag_14,5.1906278021219885
lag_1,4.9227814752939905
dayofyear,4.257484746556461
lag_28,4.092023670450575
store_family_vs_global,3.8874397533457654
lag_35,3.380653206242782
lag_42,2.853760205036561
roll_std_14,2.0289540233807997
roll_std_7,1.760730677000904
roll_mean_56,1.376991734003809
lag_56,1.2990801584622642
onpromotion,0.8802595355299123
roll_mean_90,0.8174080378574133
roll_std_28,0.6340083641725909
dayofweek,0.5586453595189407
family,0.5503886917424972
day,0.4782415342872713
lag_364,0.4561325915894817
dow_sin,0.4365039688311178
is_weekend,0.4202214746329929
store_vs_global,0.3865486609678819
dayofmonth,0.36557687355940044
sales_momentum,0.36087992427200244
store_nbr,0.3287035657392741
doy_cos,0.3276662229731902
dow_cos,0.3169077512369675
oil_lag_28,0.31362141750676586
roll_std_56,0.29105768605553073
days_since_payday,0.22354672870349565
promo_lift_ratio,0.22014271226663817
doy_sin,0.20558772758286772
sales_yoy_ratio,0.19045909842027506
oil_rmean_28,0.16398089045752365
oil_lag_16,0.15417691613878237
woy_cos,0.14415958920601532
days_until_payday,0.14331233115200528
month,0.12480544364070499
lag_365,0.10511949037976592
oil_lag_21,0.0893128816509277
lag_90,0.08577892780075343
weekofyear,0.0783245438066871
lag_371,0.07721270308904608
family_vs_global,0.07060686669372938
roll_std_90,0.07005274222154809
promo_rsum_lag16_win14,0.0679175085493006
month_cos,0.06591213990093005
promo_lag_21,0.0653468565396186
woy_sin,0.058796864097118436
promo_roll_sum_28,0.05877882979785586
promo_rsum_lag16_win28,0.05706260407425909
promo_lag_28,0.04791615609058208
is_holiday_observed,0.035773323211325675
promo_roll_sum_7,0.034629105681684084
month_sin,0.034598697305399155
earthquake_impact,0.022752655315491196
days_since_earthquake,0.02107639508000619
is_payday_15th,0.020867755212196457
promo_rsum_lag16_win7,0.019545449574717398
quarter,0.01195664812287444
is_payday_window,0.011028238911998986
is_any_holiday,0.010725330091032662
year,0.010059414719247099
is_holiday_weekend,0.008601877858875487
is_work_day_comp,0.006783599154631794
is_bridge_day,0.005493275289581885
promo_lag_16,0.005160055580318317
is_post_eq_week1,0.00424410916110257
is_payday_last,0.003158139589111847
is_payday,0.0014904805630741107
is_additional_holiday,0.0010478451334262268
is_post_eq_week3,0.000830517275115796
is_transferred_flag,0.0004301962075640681
family_group,0.0
is_post_eq_week5_8,0.0
is_earthquake_day,0.0
is_post_eq_week2,0.0
is_post_eq_week4,0.0
