feature,importance
roll_mean_7,26.696417553110795
lag_1,12.877577058744077
roll_mean_14,8.446863962208376
roll_std_7,5.411700786004213
roll_mean_28,4.866791552373015
transactions,4.618514763080536
lag_7,4.3872180865861345
dayofyear,3.7189923384134578
roll_std_14,2.1848588177290185
store_family_vs_global,2.0407345549989384
lag_42,1.964948516066464
lag_14,1.7859605359399024
dayofweek,1.185055449385192
doy_cos,1.177437165681021
promo_lift_ratio,1.1749304382690693
lag_56,1.1449745451570987
lag_35,1.1075516280234465
onpromotion,1.0877190047324539
dow_sin,0.930105021003481
family,0.8702372002436534
month,0.8595063197105489
lag_28,0.69036930034555
sales_momentum,0.6783079712294805
is_weekend,0.6644353613472543
roll_std_28,0.6580599305314594
dow_cos,0.5695738850925354
month_cos,0.5359091059708534
lag_364,0.513116121944697
store_vs_global,0.5057917125740999
weekofyear,0.44545915149257775
roll_std_56,0.43526237935840223
roll_mean_56,0.38001636282455015
sales_yoy_ratio,0.3551844874144758
dayofmonth,0.34923326498936363
doy_sin,0.3474932191181417
store_nbr,0.3187472229881304
roll_mean_90,0.29674312070184794
day,0.2961978320594509
lag_90,0.2640326551191481
woy_cos,0.250702824906442
days_since_payday,0.2327395713207662
oil_lag_28,0.2280781158194077
family_vs_global,0.21771638538850083
days_since_earthquake,0.21649359280668348
oil_rmean_28,0.21462455537720085
days_until_payday,0.19378760154113875
oil_lag_16,0.18733092839876334
lag_365,0.16868612142602923
oil_lag_21,0.1640501464344486
promo_roll_sum_7,0.11788849787643967
year,0.1027628440084238
roll_std_90,0.10141471556422034
promo_roll_sum_28,0.088262139669255
woy_sin,0.08328389088976815
lag_371,0.07982841278169701
promo_rsum_lag16_win28,0.06592520168389995
month_sin,0.06397751261524844
promo_rsum_lag16_win7,0.06384753675655032
promo_lag_28,0.05790384971014358
is_any_holiday,0.051505361298881745
is_additional_holiday,0.039197085759879305
earthquake_impact,0.03694213531231295
promo_rsum_lag16_win14,0.025048173139429187
is_holiday_weekend,0.021785982004784682
is_payday_window,0.01535720650551664
is_holiday_observed,0.012275188747820142
quarter,0.011275947798535633
is_payday_15th,0.009993601684086379
is_post_eq_week4,0.006370782063496699
promo_lag_21,0.0057831983472175375
is_post_eq_week3,0.005768077566691732
promo_lag_16,0.004694789608176933
is_payday_last,0.004389787126757671
is_post_eq_week5_8,0.002488182551347043
is_payday,0.002468634524362804
is_bridge_day,0.002174480395458556
is_transferred_flag,0.0008725781287441226
is_post_eq_week2,0.0002759798986010071
family_group,0.0
is_work_day_comp,0.0
is_earthquake_day,0.0
is_post_eq_week1,0.0
