feature,importance
lag_7,11.265817672914523
roll_mean_28,8.498776891759016
lag_1,8.225727104646085
dayofweek,7.054589404733711
roll_mean_7,6.57248911604812
lag_14,5.8868050189210175
roll_mean_14,5.593172582920658
transactions,5.15125204794428
dayofyear,2.758611302527806
lag_28,2.390612361293036
store_family_vs_global,2.2529732633946944
dow_sin,2.2317306299626045
lag_35,2.1272029681407743
is_weekend,2.008307754106788
lag_42,1.6304588014232793
roll_mean_56,1.5510577156990941
lag_56,1.40147813939564
roll_mean_90,1.3949688467617323
dow_cos,1.3186422070071566
family_vs_global,1.2240750698854155
lag_90,1.1783131425559876
family,1.1705024050683974
doy_cos,1.146623056279793
is_holiday_observed,0.9793992252920092
roll_std_28,0.9754650888096139
days_since_payday,0.7249992634816504
roll_std_56,0.7023907880923622
roll_std_7,0.6786462587605249
oil_lag_21,0.65650885093841
roll_std_14,0.6501042070246347
oil_rmean_28,0.6158470985903995
oil_lag_28,0.5648351948059598
days_until_payday,0.5306688235794397
weekofyear,0.5284509725875178
woy_cos,0.5215806782070591
doy_sin,0.5142562733473298
day,0.48131982807228973
lag_364,0.4790749714592
oil_lag_16,0.4571361781255253
days_since_earthquake,0.4438581253083502
store_vs_global,0.4277788391859874
store_nbr,0.425876634611541
lag_365,0.398140941278008
sales_momentum,0.36468640215972087
dayofmonth,0.36289202533653
is_any_holiday,0.3568197410800357
month,0.33019125613295974
onpromotion,0.3189500796932403
promo_lift_ratio,0.3072954146162758
is_post_eq_week5_8,0.2686850204478272
is_payday_15th,0.24473145394519463
roll_std_90,0.22998964193171997
promo_rsum_lag16_win28,0.20402528375092907
is_additional_holiday,0.14785404148528414
sales_yoy_ratio,0.14624443674367352
month_sin,0.13739540932369457
lag_371,0.12498720281007661
woy_sin,0.11415754456164828
quarter,0.11166752809544328
month_cos,0.08878578181413235
is_holiday_weekend,0.05813255137293495
promo_rsum_lag16_win7,0.043607830039261976
is_payday_window,0.03936173303811664
year,0.03709898227963483
promo_roll_sum_28,0.03633800607193197
promo_roll_sum_7,0.033960770521999084
promo_rsum_lag16_win14,0.03277937979916152
promo_lag_16,0.029466704013169562
earthquake_impact,0.028226349365031815
is_payday_last,0.007132129903343805
is_payday,0.0014770892705188226
promo_lag_21,0.0012026231395227082
is_transferred_flag,0.0006050135542637371
promo_lag_28,0.000409349303235794
is_bridge_day,0.00031747945211294237
family_group,0.0
is_work_day_comp,0.0
is_post_eq_week2,0.0
is_post_eq_week1,0.0
is_post_eq_week4,0.0
is_post_eq_week3,0.0
is_earthquake_day,0.0
