feature,importance
lag_1,25.929518019765798
roll_mean_7,23.335936224752437
family_vs_global,5.294810933223373
dayofyear,4.010999034055416
roll_std_7,3.620705527664794
store_family_vs_global,3.501604499548284
transactions,2.6266279945484574
roll_mean_28,1.9406311042092468
lag_56,1.932234444409441
lag_7,1.8144723158076546
lag_14,1.682336456359984
days_until_payday,1.5876463160971128
roll_mean_14,1.5579100795242447
day,1.4364464479901902
dayofmonth,1.4202336524798522
lag_42,1.3653083438126323
sales_yoy_ratio,1.1449856473534252
dayofweek,1.0759203617618034
store_vs_global,0.9161521114016752
oil_rmean_28,0.9082666004528647
onpromotion,0.9032185479808488
is_weekend,0.8915194701081224
sales_momentum,0.7738204485689285
roll_std_14,0.7684649021280389
dow_sin,0.7588907739698542
lag_28,0.7202240800711527
oil_lag_28,0.6498016448861516
doy_cos,0.6491277699629605
oil_lag_16,0.6298086385072954
family,0.6237088063933683
roll_std_56,0.5989936557047877
lag_35,0.505948000993719
roll_mean_56,0.48447373784032716
roll_std_28,0.36598313608937866
woy_cos,0.34974583117791935
lag_90,0.3481659848934723
days_since_payday,0.2776709198754643
store_nbr,0.2678650695373415
promo_lift_ratio,0.2669019344506684
dow_cos,0.2459469931408585
oil_lag_21,0.19064404471869278
doy_sin,0.1865224915156002
month_sin,0.1845917061720021
weekofyear,0.1556371896046264
woy_sin,0.14133198367798225
roll_mean_90,0.13484011145611774
roll_std_90,0.09624211689770774
month_cos,0.09521317382836697
promo_roll_sum_7,0.06584489461177218
is_bridge_day,0.059657637863338324
lag_364,0.05854190677166037
earthquake_impact,0.055218505957836644
promo_roll_sum_28,0.04729520182901358
lag_365,0.04174593353437047
lag_371,0.03845639371976119
days_since_earthquake,0.03715924050799949
is_additional_holiday,0.03463536227185372
is_any_holiday,0.025039496111851606
year,0.022958854816672283
month,0.02196283177446334
is_holiday_observed,0.02139124299910895
promo_rsum_lag16_win28,0.013946786940770426
is_post_eq_week1,0.010681667487664631
promo_lag_16,0.009367105921334435
promo_lag_28,0.008955952697380561
promo_rsum_lag16_win14,0.00870953094329639
quarter,0.008015936618941526
is_post_eq_week5_8,0.007590378353649569
is_post_eq_week2,0.006108624691735464
is_payday_window,0.005237680998159594
is_holiday_weekend,0.0046260745127166365
promo_lag_21,0.003515609576218482
promo_rsum_lag16_win7,0.0035104354378936342
is_payday_15th,0.003374100643119762
is_post_eq_week4,0.002283738379812869
is_transferred_flag,0.0015019961029990344
is_earthquake_day,0.0013614937352845384
is_payday_last,0.0012630329696054939
is_payday,0.0011879600240771327
is_work_day_comp,0.0004067633827258211
is_post_eq_week3,0.00039834844249321744
family_group,0.0
