feature,importance
lag_1,56.274151950596206
lag_7,4.872475691040233
dayofyear,4.214421112672011
roll_mean_7,3.574528534074759
roll_std_7,2.191055815805747
transactions,2.046944254338446
day,1.7742633955802591
dayofmonth,1.6761717038579715
lag_14,1.255534283861285
dow_sin,1.15224858390587
lag_42,1.1435931410858147
onpromotion,1.1250550068218559
roll_std_28,1.1001459809216545
roll_std_14,1.0851276063781303
doy_cos,1.0678527250795038
sales_yoy_ratio,1.0118830834388484
lag_35,0.9905993471607599
lag_56,0.9293099988471197
days_until_payday,0.9127213565666127
store_family_vs_global,0.7542505045881119
dayofweek,0.7434460498157593
store_vs_global,0.7417129500745431
roll_mean_28,0.7336924016775478
roll_mean_14,0.6246898947738706
family,0.5142941047539812
dow_cos,0.493542345074136
oil_lag_28,0.49256165794820894
doy_sin,0.44148320776261607
roll_mean_56,0.4343523433391758
oil_rmean_28,0.4292426220120283
oil_lag_21,0.37507506470820057
roll_std_90,0.3719048203797775
lag_28,0.37037575870456985
sales_momentum,0.3420521335583766
oil_lag_16,0.3075852242337524
is_weekend,0.2877376906320588
woy_cos,0.27786623029598684
roll_std_56,0.27518742582017164
month_cos,0.24360154243865018
month,0.215466178297398
family_vs_global,0.21391888160338612
weekofyear,0.1916758340868619
lag_364,0.18636014905223788
is_any_holiday,0.1584141015293033
promo_lift_ratio,0.14955744696168968
days_since_payday,0.14866212318607458
roll_mean_90,0.11866768602242429
month_sin,0.10388972286980495
lag_365,0.1024579583255963
woy_sin,0.0880962847439337
lag_371,0.08467796118498652
promo_roll_sum_7,0.0694039686899185
lag_90,0.0692125617661076
promo_rsum_lag16_win28,0.06696187106524157
quarter,0.05618248266667039
promo_rsum_lag16_win7,0.05249566304467072
store_nbr,0.049015734927969935
is_additional_holiday,0.03188253645913484
promo_rsum_lag16_win14,0.02818508372523572
days_since_earthquake,0.024900071099624894
promo_roll_sum_28,0.02402436434856019
promo_lag_16,0.020989092812435873
is_holiday_observed,0.0166348648557998
promo_lag_28,0.014055321675947264
promo_lag_21,0.012446525671300852
is_bridge_day,0.011633415130716434
earthquake_impact,0.009953826233522704
year,0.0053807384376632905
is_payday,0.005061822151867814
is_holiday_weekend,0.0042910941015738445
is_post_eq_week1,0.004219140312878582
is_payday_15th,0.0030651627961098696
is_payday_window,0.0022602972642934128
is_payday_last,0.0021046488972266534
is_post_eq_week2,0.0005692819619200188
is_post_eq_week5_8,0.00022343456400121807
is_earthquake_day,0.0001224587751311409
is_post_eq_week4,7.483253506086377e-05
is_transferred_flag,4.9979045389615125e-05
is_work_day_comp,1.7852495688543137e-05
family_group,0.0
is_post_eq_week3,0.0
