feature,importance
transactions,2608441.2411733717
roll_mean_7,456464.18025523424
roll_std_7,175171.2666543424
lag_14,47588.07788015902
lag_7,44051.230921790004
onpromotion,28932.650815293193
lag_28,15877.551568031311
oil_lag_16,11937.831730768085
lag_1,8900.158028930426
dayofyear,6191.862608134747
dayofmonth,6183.131002575159
store_nbr,2842.6081159859896
doy_cos,2427.4350606799126
roll_mean_14,2196.3151845037937
month,1483.8425069749355
lag_42,1312.6706331521273
lag_364,948.1245443671942
dayofweek,815.9049653708935
woy_cos,735.4109615683556
day,681.2101785540581
earthquake_impact,609.4250635802746
lag_35,603.5676250308752
doy_sin,508.60881265997887
oil_lag_28,477.86756828427315
lag_56,436.01367846131325
dow_sin,419.3696927726269
weekofyear,419.33141051232815
oil_rmean_28,414.77215856313705
is_holiday_observed,413.3775131702423
days_since_payday,384.1845466196537
lag_90,363.9893109500408
store_family_vs_global,338.380656003952
promo_lift_ratio,240.5913470685482
promo_roll_sum_28,239.19525337219238
lag_365,227.58370892703533
roll_mean_28,203.53369694948196
roll_std_14,187.01643204689026
oil_lag_21,183.94755965471268
sales_momentum,164.18972517549992
promo_roll_sum_7,150.59656757116318
is_weekend,145.2635253071785
roll_mean_56,118.80374163389206
sales_yoy_ratio,98.26529915630817
roll_std_28,91.24499049782753
dow_cos,88.88988907635212
roll_mean_90,81.21977016329765
is_post_eq_week1,80.07633009552956
roll_std_90,78.1436350941658
lag_371,72.92332476377487
roll_std_56,60.3293639421463
woy_sin,57.94878278672695
promo_lag_28,47.663445085287094
promo_rsum_lag16_win14,32.46404179930687
month_cos,32.39787936210632
is_post_eq_week4,29.140797913074493
promo_rsum_lag16_win28,27.159190237522125
promo_rsum_lag16_win7,26.38467487692833
promo_lag_16,25.571514189243317
promo_lag_21,24.788941025733948
days_until_payday,23.637929439544678
store_vs_global,17.293488025665283
is_payday_15th,15.947496950626373
is_payday_last,15.257701009511948
is_additional_holiday,13.599617034196854
days_since_earthquake,10.866483926773071
is_any_holiday,10.82311999797821
month_sin,10.087764739990234
is_holiday_weekend,6.9188989996910095
year,3.372585117816925
is_post_eq_week5_8,3.141405940055847
is_earthquake_day,2.7524609863758087
is_payday,1.6691510081291199
is_payday_window,1.1981109976768494
family,0.0
quarter,0.0
family_group,0.0
is_transferred_flag,0.0
is_post_eq_week3,0.0
is_post_eq_week2,0.0
is_bridge_day,0.0
is_work_day_comp,0.0
family_vs_global,0.0
