feature,importance
transactions,8478690.412826255
roll_mean_7,1490389.534828186
lag_7,1232133.4362916648
roll_std_7,948079.9476162642
lag_14,470259.2207956314
lag_28,147576.14375127852
roll_mean_14,88377.74654272199
oil_lag_16,76644.39635017514
lag_1,50721.50455123186
onpromotion,28068.766596600413
store_nbr,19160.717626333237
lag_35,17505.932853758335
lag_42,17268.802116185427
dayofmonth,17178.883975848556
dayofyear,15054.552462607622
lag_364,12006.127333059907
roll_mean_28,10405.811281576753
doy_sin,8959.084922492504
dayofweek,7111.19280269742
doy_cos,7088.77289159596
store_family_vs_global,6064.608711779118
lag_56,5860.594770908356
oil_lag_21,5047.603276371956
day,4479.943709358573
month,4225.008960708976
lag_90,4083.9431692659855
roll_mean_90,3600.7580703496933
sales_momentum,3579.246745377779
roll_std_28,3465.2279081195593
roll_std_14,2898.508956298232
days_since_payday,2805.9999553859234
lag_365,2659.0610215365887
weekofyear,2216.746289893985
sales_yoy_ratio,2186.4539283514023
oil_lag_28,2140.9343383312225
family_vs_global,2056.916060656309
roll_mean_56,1970.6987097859383
roll_std_90,1902.7774843424559
days_until_payday,1848.394274637103
dow_sin,1763.5205710977316
family,1697.3086252957582
woy_cos,1542.3669193983078
store_vs_global,1485.0294886380434
is_weekend,1263.7446140348911
lag_371,1244.3210368305445
dow_cos,994.0682900846004
oil_rmean_28,895.2816890776157
roll_std_56,856.9833580702543
woy_sin,720.3460179716349
promo_roll_sum_7,716.7887684851885
promo_lift_ratio,686.7706763744354
earthquake_impact,648.8038210868835
promo_rsum_lag16_win28,511.5482529401779
days_since_earthquake,480.78110863268375
promo_roll_sum_28,461.2805242985487
promo_rsum_lag16_win14,396.16775473952293
month_cos,325.46271201968193
is_additional_holiday,296.3349800556898
promo_rsum_lag16_win7,249.14749014377594
is_holiday_observed,220.97629825770855
month_sin,197.97093118727207
promo_lag_28,172.21013702452183
promo_lag_21,170.30400571227074
is_any_holiday,164.41896341741085
promo_lag_16,149.9771147966385
is_payday_window,138.51817667484283
year,88.00429540872574
is_payday_15th,59.937863662838936
is_holiday_weekend,53.07779864966869
is_post_eq_week5_8,42.05849972367287
is_bridge_day,36.27904325723648
is_post_eq_week1,33.33916610479355
is_post_eq_week4,27.830717846751213
is_payday_last,26.814585775136948
is_payday,16.82368203997612
is_transferred_flag,12.81446997821331
quarter,8.586831718683243
is_earthquake_day,3.589016079902649
is_work_day_comp,2.8618019819259644
is_post_eq_week3,1.0520800352096558
is_post_eq_week2,0.5798180103302002
family_group,0.0
