feature,importance
roll_mean_7,4623350.22309196
roll_mean_14,1092682.3379373848
lag_7,597881.4186948836
roll_mean_28,255708.3092649579
lag_14,142601.47227051854
lag_1,139986.52485832572
transactions,52864.74162581563
lag_28,29935.21057572961
store_family_vs_global,21613.039163678885
oil_lag_16,13783.206142604351
lag_35,12607.395411759615
store_nbr,12591.338294953108
lag_42,11954.605036586523
dayofyear,7987.316572606564
lag_364,7764.271197915077
onpromotion,7223.192258864641
doy_sin,6908.36068546772
dayofmonth,5669.648215651512
lag_56,5390.239145696163
dayofweek,5305.452712446451
oil_lag_28,4506.745974808931
roll_std_7,4358.2491399645805
doy_cos,3793.908955335617
roll_mean_56,3262.557144641876
sales_momentum,3012.9087621867657
sales_yoy_ratio,2937.7145680189133
roll_std_14,2300.0454176068306
days_since_payday,2205.705804646015
oil_rmean_28,1941.5982020199299
lag_90,1849.6946625709534
lag_365,1816.6336687803268
roll_mean_90,1799.887395143509
oil_lag_21,1760.6475767791271
roll_std_90,1587.2018810808659
lag_371,1575.5317892730236
roll_std_28,1477.8239811360836
roll_std_56,1447.701522409916
dow_sin,1350.756304949522
weekofyear,1206.322975575924
day,1154.4508607685566
is_weekend,1112.34443461895
dow_cos,1013.922847121954
promo_lift_ratio,797.7852340936661
family,763.3170425593853
month,721.8515020608902
woy_cos,635.4571854770184
store_vs_global,632.5781133770943
woy_sin,599.8983343243599
is_holiday_observed,589.9523995518684
promo_rsum_lag16_win28,501.74076321721077
promo_roll_sum_28,488.287671148777
promo_lag_21,458.4185202717781
promo_roll_sum_7,368.4845946133137
month_cos,354.26086670160294
promo_rsum_lag16_win14,323.1859955191612
days_since_earthquake,313.035009175539
earthquake_impact,284.12170219421387
promo_lag_28,254.55399483442307
month_sin,228.94950395822525
promo_rsum_lag16_win7,225.32815650105476
family_vs_global,129.06339263916016
promo_lag_16,125.93449917435646
is_any_holiday,120.39856591820717
is_payday_window,114.01863980293274
year,99.324308604002
days_until_payday,93.88927185535431
is_bridge_day,58.88121670484543
is_payday_15th,58.06428438425064
is_holiday_weekend,47.46827107667923
is_additional_holiday,37.92528188228607
is_payday_last,28.981198221445084
is_work_day_comp,21.902903854846954
is_post_eq_week4,21.653477996587753
is_payday,17.58281198143959
quarter,15.973096370697021
is_post_eq_week2,8.120402038097382
is_post_eq_week5_8,7.381785869598389
is_transferred_flag,6.093808978796005
is_post_eq_week3,5.9013999700546265
is_post_eq_week1,1.8052400350570679
family_group,0.0
is_earthquake_day,0.0
