feature,importance
roll_mean_7,5157180.855650663
roll_mean_14,1014785.3068006039
lag_1,257542.1738796234
roll_mean_28,169126.3973145485
lag_7,59497.36310148239
transactions,40123.19139099121
lag_14,27771.654790639877
dayofyear,22933.107446670532
roll_std_14,21656.539340257645
lag_28,15205.870421886444
store_nbr,14892.659056901932
dayofweek,11419.493072986603
store_family_vs_global,8728.861377000809
lag_35,8005.635385990143
lag_42,7843.542781352997
onpromotion,7793.256227493286
roll_std_7,7451.295367240906
dayofmonth,7429.678511857986
lag_56,6355.173934698105
is_weekend,5812.426347017288
lag_364,4714.720271348953
day,2901.419086456299
doy_cos,2337.815148830414
oil_lag_16,2155.6736199855804
dow_sin,2116.844651699066
promo_lift_ratio,1989.5619158744812
weekofyear,1890.2713775634766
doy_sin,1747.2726919651031
month,1673.1665289402008
family,1612.2444870471954
sales_momentum,1528.0270736217499
roll_mean_56,1521.5290298461914
lag_90,1474.6827337741852
dow_cos,1299.004328250885
roll_mean_90,1268.2444167137146
sales_yoy_ratio,1114.5152764320374
days_since_payday,989.4372198581696
woy_cos,709.0140862464905
days_since_earthquake,632.6029210090637
oil_lag_28,601.7412707805634
promo_roll_sum_7,585.3193197250366
roll_std_28,567.0386216640472
oil_rmean_28,565.623722076416
store_vs_global,553.111734867096
lag_365,511.04788422584534
promo_roll_sum_28,487.7586498260498
oil_lag_21,411.52965092658997
month_cos,411.5162751674652
roll_std_56,393.38939666748047
promo_lag_28,326.19209122657776
roll_std_90,310.72796988487244
is_additional_holiday,305.6316108703613
lag_371,299.7377607822418
family_vs_global,291.02121925354004
promo_rsum_lag16_win28,179.69169807434082
woy_sin,166.0412802696228
days_until_payday,154.60042190551758
promo_rsum_lag16_win14,128.38443040847778
is_any_holiday,127.89649987220764
promo_rsum_lag16_win7,89.62020111083984
promo_lag_21,74.55577874183655
is_holiday_observed,70.05064868927002
is_bridge_day,69.33780026435852
month_sin,65.29994082450867
year,41.65111017227173
earthquake_impact,28.354559898376465
promo_lag_16,9.815190315246582
is_post_eq_week4,4.953169822692871
is_payday,4.124129772186279
is_payday_15th,3.1667098999023438
quarter,0.0
family_group,0.0
is_post_eq_week5_8,0.0
is_work_day_comp,0.0
is_payday_last,0.0
is_earthquake_day,0.0
is_transferred_flag,0.0
is_holiday_weekend,0.0
is_payday_window,0.0
is_post_eq_week1,0.0
is_post_eq_week2,0.0
is_post_eq_week3,0.0
