feature,importance
lag_7,2284420.596464157
lag_14,986019.5469472408
roll_mean_14,387228.54219579697
roll_mean_7,339135.88458299637
lag_28,241608.31549692154
roll_mean_28,170334.1579785347
lag_35,110174.0476026535
lag_1,85276.2983880043
dayofweek,57827.350400686264
transactions,42401.345492601395
lag_42,40542.9372754097
store_family_vs_global,34257.97594833374
roll_mean_56,24850.99796485901
dayofyear,22599.417841911316
store_nbr,20773.847338438034
lag_90,19755.14478826523
is_weekend,19295.68528985977
lag_56,15266.831156492233
weekofyear,13099.946568250656
doy_cos,11281.138091087341
woy_cos,8620.666615962982
oil_lag_16,8280.44137430191
roll_mean_90,7549.822117328644
dayofmonth,7364.161040306091
dow_cos,6877.554952144623
doy_sin,6749.108433246613
oil_rmean_28,6715.101430892944
roll_std_7,6654.3076775074005
days_since_earthquake,5760.780476093292
is_holiday_observed,5425.083151817322
promo_rsum_lag16_win28,5185.229061603546
oil_lag_21,4739.987699747086
is_additional_holiday,4697.489139556885
roll_std_14,4462.207043647766
dow_sin,4364.002920627594
onpromotion,3994.9270811080933
is_payday_15th,3514.58721780777
lag_365,3413.8972651958466
month,3373.685685634613
days_since_payday,3239.1199402809143
lag_364,2773.653907775879
family_vs_global,2564.5366582870483
day,2544.2580766677856
oil_lag_28,2307.4503750801086
roll_std_56,2181.887306690216
is_post_eq_week5_8,2041.6777038574219
is_payday_window,1859.748827457428
sales_momentum,1856.94038438797
is_any_holiday,1814.0366387367249
month_sin,1675.1090755462646
family,1559.13378572464
month_cos,1437.29074716568
sales_yoy_ratio,1364.653269290924
year,1167.2608728408813
lag_371,1053.478060722351
roll_std_28,931.5186474323273
roll_std_90,913.3598785400391
woy_sin,842.7065670490265
promo_rsum_lag16_win14,566.8019061088562
promo_lift_ratio,439.8700020313263
promo_roll_sum_7,402.0788769721985
store_vs_global,309.2033967971802
days_until_payday,265.34957551956177
earthquake_impact,158.40445184707642
promo_roll_sum_28,132.0195596218109
promo_lag_16,74.14280986785889
promo_rsum_lag16_win7,69.0445408821106
is_payday_last,61.840460777282715
is_holiday_weekend,40.01530075073242
promo_lag_21,28.97477960586548
is_post_eq_week1,13.349859952926636
is_transferred_flag,11.036299705505371
is_payday,10.048710346221924
family_group,0.0
quarter,0.0
is_work_day_comp,0.0
is_bridge_day,0.0
is_post_eq_week4,0.0
is_earthquake_day,0.0
is_post_eq_week2,0.0
is_post_eq_week3,0.0
promo_lag_28,0.0
