feature,importance
roll_mean_7,14233109.731852055
lag_1,8687425.755224109
roll_mean_14,1073890.8953875303
store_family_vs_global,498864.813141346
family_vs_global,438964.10312855244
roll_std_7,264471.7914582491
family,173941.19434547424
lag_7,93864.32616585493
transactions,87814.94787424803
dayofyear,78024.54708385468
lag_14,70848.04326450825
sales_yoy_ratio,53332.71112930775
lag_42,45035.805386185646
dayofmonth,43003.151737213135
lag_56,42865.30246126652
dayofweek,41465.29220247269
store_nbr,35942.99007439613
is_weekend,24881.30307984352
onpromotion,24330.27236545086
lag_28,24297.3354524374
lag_35,21389.87455546856
roll_mean_56,17514.930599570274
oil_rmean_28,17197.59005868435
lag_371,16782.011736750603
sales_momentum,16113.439948916435
roll_mean_28,15968.446685671806
oil_lag_16,13230.153269171715
doy_cos,12570.21307849884
roll_std_56,12277.393735647202
roll_std_14,11951.32180595398
day,10195.388144493103
roll_mean_90,10002.165649652481
lag_90,9770.295583307743
oil_lag_28,9724.079686045647
roll_std_90,9639.065477609634
dow_sin,9528.16129052639
doy_sin,9434.561148166656
month_cos,9356.624112725258
weekofyear,8035.144700407982
promo_lift_ratio,7176.00800549984
woy_cos,5598.363979578018
lag_364,4690.112744092941
oil_lag_21,4580.629855394363
days_until_payday,4575.699577093124
dow_cos,4226.215469956398
lag_365,3669.4796434640884
is_any_holiday,2916.7258954048157
month,2860.157616853714
days_since_payday,2532.9288960695267
woy_sin,1864.8160670995712
roll_std_28,1855.842523097992
store_vs_global,1636.7380114793777
year,1465.6491268873215
earthquake_impact,1320.9337430000305
month_sin,1148.1553424596786
promo_roll_sum_7,1046.6471554040909
is_additional_holiday,921.9930387735367
is_holiday_observed,563.1844234466553
promo_roll_sum_28,453.28186774253845
days_since_earthquake,354.044260263443
is_bridge_day,313.2706228494644
is_post_eq_week1,266.44368863105774
promo_lag_16,231.73378586769104
promo_rsum_lag16_win28,157.52050077915192
promo_lag_28,151.9092482328415
promo_rsum_lag16_win14,124.49941992759705
promo_lag_21,111.8547215461731
is_post_eq_week2,98.65727996826172
is_payday_last,89.65528988838196
is_payday_window,84.14073944091797
promo_rsum_lag16_win7,80.76340007781982
is_post_eq_week4,40.78457951545715
is_post_eq_week5_8,32.02822995185852
is_holiday_weekend,24.56251060962677
is_payday,15.816180109977722
is_post_eq_week3,11.427210211753845
is_transferred_flag,11.23186993598938
is_payday_15th,5.900279998779297
is_earthquake_day,4.536250114440918
quarter,3.7919700145721436
family_group,0.0
is_work_day_comp,0.0
