feature,importance
lag_1,7747212.44531399
roll_mean_7,3382357.0139249563
roll_std_7,517993.21070846915
lag_7,199960.59502890706
dayofyear,79157.02847790718
transactions,45580.432626247406
dayofmonth,34443.86821100116
dayofweek,29512.67996776104
lag_14,27126.21462804079
roll_mean_14,26286.213664472103
sales_yoy_ratio,19985.797476410866
onpromotion,19625.64491534233
store_nbr,18128.609681606293
oil_lag_16,16972.589151859283
lag_42,15783.618582963943
dow_sin,14002.967598885298
weekofyear,12713.281250804663
lag_365,10808.933646291494
oil_rmean_28,10276.839626848698
sales_momentum,9923.446250140667
lag_35,9791.428957730532
store_family_vs_global,9689.698533505201
lag_364,9099.606214731932
lag_56,8825.318845421076
doy_sin,8453.795381218195
day,8287.07950797677
doy_cos,6788.083114296198
lag_371,6172.090181142092
oil_lag_21,6085.176414549351
dow_cos,4639.181735992432
lag_90,4500.102655977011
month_cos,4152.360293567181
oil_lag_28,3707.941838622093
is_weekend,3607.949840605259
woy_cos,3578.5365874171257
promo_lift_ratio,3563.272201061249
month,3259.0705956220627
roll_std_90,3068.4856311380863
family,3050.124224424362
roll_std_56,2873.3162300884724
lag_28,2510.117712199688
roll_std_14,2246.705499202013
store_vs_global,2208.021145284176
roll_mean_90,2006.4328910410404
is_any_holiday,1986.745973110199
days_since_payday,1748.2655990123749
month_sin,1455.0433567166328
is_holiday_observed,1400.6283004879951
roll_std_28,1014.0332809090614
roll_mean_56,949.96058639884
promo_roll_sum_7,904.8222925066948
days_until_payday,855.7074898481369
roll_mean_28,838.6155890524387
year,798.5947647094727
is_additional_holiday,480.5441407263279
woy_sin,461.7739976346493
promo_lag_21,432.11431312561035
promo_roll_sum_28,410.5992102921009
promo_lag_16,372.95022118091583
family_vs_global,328.3474169075489
earthquake_impact,259.9735708832741
promo_rsum_lag16_win28,238.5255173444748
promo_rsum_lag16_win7,212.116435110569
promo_rsum_lag16_win14,181.40097188949585
days_since_earthquake,99.26281064748764
is_bridge_day,93.36132663488388
is_payday_last,93.11218523979187
is_payday_window,66.49972230195999
promo_lag_28,54.78161722421646
is_post_eq_week1,24.996138274669647
is_post_eq_week2,24.723561823368073
is_holiday_weekend,24.237235993146896
is_payday_15th,16.153626918792725
is_payday,12.620421200990677
is_post_eq_week5_8,8.39313018321991
is_earthquake_day,8.11793601512909
quarter,5.291049838066101
is_post_eq_week4,1.1488060057163239
family_group,0.0
is_transferred_flag,0.0
is_post_eq_week3,0.0
is_work_day_comp,0.0
