feature,importance
transactions,0.5399931
roll_mean_7,0.3023597
roll_mean_14,0.048087675
lag_14,0.013182965
onpromotion,0.012553584
roll_std_7,0.0113616185
is_post_eq_week1,0.008931017
lag_7,0.0075652464
dayofyear,0.0058747
lag_28,0.0058708615
lag_1,0.0042232247
dayofmonth,0.0037918924
roll_mean_28,0.0032098424
roll_std_14,0.0031965256
earthquake_impact,0.0029876742
month,0.0029081837
is_weekend,0.0016899238
lag_42,0.0014472412
lag_35,0.0013195735
days_until_payday,0.001290025
day,0.0011542334
doy_cos,0.0010961154
roll_std_28,0.00084349763
month_sin,0.000838482
is_additional_holiday,0.00072699034
is_post_eq_week4,0.0006934081
store_nbr,0.000577053
is_post_eq_week5_8,0.0005576904
dayofweek,0.0005493429
oil_lag_16,0.00051864824
is_payday_last,0.0004910985
store_vs_global,0.00046760758
promo_lift_ratio,0.00046624546
store_family_vs_global,0.00042913697
weekofyear,0.00040878332
month_cos,0.00040846007
lag_364,0.0003568058
doy_sin,0.00033033593
days_since_payday,0.0003232722
oil_rmean_28,0.00031728428
is_holiday_weekend,0.00031622354
days_since_earthquake,0.0002797843
is_payday_15th,0.00027356352
dow_sin,0.00027145233
woy_cos,0.0002627867
promo_roll_sum_28,0.0002552439
dow_cos,0.00025240317
promo_rsum_lag16_win14,0.00022599167
quarter,0.00021782587
is_post_eq_week2,0.00021738223
oil_lag_21,0.00021149384
lag_56,0.00020441227
oil_lag_28,0.00019533743
is_bridge_day,0.0001867326
is_holiday_observed,0.00018647035
lag_90,0.00018552196
roll_mean_90,0.00017078755
sales_yoy_ratio,0.00016843471
lag_365,0.0001676986
is_any_holiday,0.00016600713
woy_sin,0.00015782475
is_earthquake_day,0.00015239778
roll_mean_56,0.00015178508
promo_roll_sum_7,0.0001391055
year,0.00013267774
lag_371,0.00012455306
promo_rsum_lag16_win28,0.00012157188
is_payday_window,0.00012081951
promo_lag_28,0.00011714451
roll_std_90,0.00011059725
roll_std_56,0.000107132924
promo_lag_21,0.00010588509
promo_rsum_lag16_win7,0.000105779414
is_work_day_comp,0.00010206506
is_transferred_flag,9.2851384e-05
is_payday,9.001016e-05
is_post_eq_week3,8.921577e-05
sales_momentum,8.582183e-05
promo_lag_16,7.8153906e-05
family,0.0
family_group,0.0
family_vs_global,0.0
