feature,importance
transactions,0.3659414
roll_mean_7,0.35569695
roll_mean_14,0.075491495
lag_7,0.0751864
lag_14,0.029263182
roll_std_7,0.011726812
oil_lag_16,0.010260227
lag_28,0.009519181
dayofyear,0.005464493
is_weekend,0.004088739
dayofmonth,0.0036720436
lag_1,0.0034108812
onpromotion,0.003035172
is_post_eq_week1,0.0027729622
lag_35,0.0026234607
lag_56,0.0025717425
days_until_payday,0.0021267426
month,0.001863693
roll_mean_28,0.0017220984
sales_momentum,0.0015069963
day,0.0014830459
roll_mean_90,0.001387303
store_family_vs_global,0.0013129157
doy_cos,0.0011922319
is_additional_holiday,0.0011279106
lag_42,0.0010509286
is_bridge_day,0.0010502422
dayofweek,0.00097208336
family_vs_global,0.000930424
store_vs_global,0.0009235082
month_cos,0.00080172776
lag_364,0.0007671563
roll_mean_56,0.0007063544
earthquake_impact,0.0006833902
oil_lag_28,0.00066804903
days_since_payday,0.00065559725
is_post_eq_week4,0.0006241534
woy_cos,0.0006037734
oil_lag_21,0.00058002
is_earthquake_day,0.0005728209
is_any_holiday,0.0005697696
dow_sin,0.00054995227
is_holiday_weekend,0.00053807907
dow_cos,0.00052031514
roll_std_14,0.0005049338
is_holiday_observed,0.00046716083
doy_sin,0.00045525524
lag_90,0.00044960194
store_nbr,0.00042282153
family,0.00041517758
is_post_eq_week5_8,0.00041508308
is_work_day_comp,0.00038649436
woy_sin,0.00038541335
month_sin,0.00038538236
weekofyear,0.00038027015
days_since_earthquake,0.00037858402
is_payday_15th,0.00037134602
year,0.00036450193
oil_rmean_28,0.00036144114
roll_std_28,0.00035506723
is_payday_window,0.0003202147
promo_lift_ratio,0.00031633943
is_transferred_flag,0.00031095374
sales_yoy_ratio,0.000304558
lag_365,0.00029677054
roll_std_90,0.00029598462
is_payday_last,0.0002752308
roll_std_56,0.00026955758
lag_371,0.0002679432
is_payday,0.00026730585
promo_roll_sum_28,0.0002649753
promo_roll_sum_7,0.00024731527
promo_rsum_lag16_win28,0.00024144999
promo_rsum_lag16_win14,0.00022604308
promo_lag_21,0.00022242911
is_post_eq_week2,0.0002064421
promo_rsum_lag16_win7,0.00020327547
promo_lag_28,0.0001999262
promo_lag_16,0.00019041204
quarter,0.00018010916
is_post_eq_week3,0.00017775733
family_group,0.0
