feature,importance
roll_mean_7,0.65816337
roll_mean_14,0.16152593
lag_7,0.061125644
lag_14,0.023643509
lag_1,0.010728442
roll_mean_28,0.0050778287
is_weekend,0.003821176
transactions,0.003325678
store_family_vs_global,0.003316886
lag_28,0.0030773904
oil_lag_16,0.0027293896
dayofyear,0.0026210346
onpromotion,0.0022941974
lag_35,0.0016852994
roll_std_14,0.0016141054
lag_364,0.0015550358
is_bridge_day,0.0014934465
is_post_eq_week1,0.0014681892
lag_42,0.001459979
family,0.0013426397
dayofmonth,0.0013267535
family_vs_global,0.0013035333
roll_mean_56,0.0012663527
oil_lag_28,0.0012429517
doy_cos,0.0012053996
day,0.0010861163
store_vs_global,0.0010300347
is_post_eq_week4,0.0010231548
lag_56,0.0010051786
earthquake_impact,0.0009977261
doy_sin,0.0009870586
roll_mean_90,0.0009567314
days_until_payday,0.0009458352
oil_rmean_28,0.0009082807
month,0.0008953312
dayofweek,0.0008778377
is_work_day_comp,0.0008678051
is_post_eq_week3,0.0008591146
is_post_eq_week2,0.00084654446
roll_std_7,0.00084039447
dow_sin,0.0008395761
promo_lag_21,0.00083419186
roll_std_90,0.0008129838
days_since_earthquake,0.00081133697
promo_lift_ratio,0.000807218
roll_std_56,0.00079158694
roll_std_28,0.000768792
days_since_payday,0.00076526304
is_payday_last,0.0007629034
dow_cos,0.00075275527
woy_cos,0.0007487016
is_post_eq_week5_8,0.0007470284
is_any_holiday,0.0007451097
oil_lag_21,0.0007425556
promo_lag_28,0.0007212291
sales_yoy_ratio,0.00071596063
is_holiday_observed,0.00071236474
quarter,0.00069383095
promo_rsum_lag16_win28,0.0006903498
woy_sin,0.0006853614
is_holiday_weekend,0.0006722712
promo_roll_sum_28,0.0006708427
sales_momentum,0.00066993514
month_cos,0.0006509404
is_additional_holiday,0.0006506563
lag_90,0.0006453468
month_sin,0.0006421867
lag_365,0.00063801423
is_payday,0.0006343638
promo_rsum_lag16_win14,0.00063387566
lag_371,0.0006297795
is_transferred_flag,0.0006108091
is_payday_window,0.0006041166
year,0.0005994398
is_payday_15th,0.00058905897
promo_roll_sum_7,0.00058173144
promo_rsum_lag16_win7,0.0005517409
promo_lag_16,0.0004963029
weekofyear,0.00045069598
store_nbr,0.00042608852
is_earthquake_day,0.0002613704
family_group,0.0
