feature,importance
roll_mean_7,0.7197344
roll_mean_14,0.120036095
lag_1,0.021233905
family_vs_global,0.008214569
dayofyear,0.007482161
is_weekend,0.0064887223
lag_7,0.0043998766
store_family_vs_global,0.004087932
transactions,0.003497809
onpromotion,0.0034967968
is_additional_holiday,0.0030999742
lag_14,0.0029635923
lag_28,0.002926484
is_bridge_day,0.002792808
month,0.0024648968
dayofweek,0.002423825
dow_sin,0.002335254
family,0.0023217718
roll_std_7,0.0022401437
day,0.0021264597
lag_42,0.0021063734
dayofmonth,0.0019687114
lag_35,0.0018947329
lag_364,0.0018634816
promo_lift_ratio,0.0018278583
roll_mean_28,0.0018222206
doy_cos,0.001816207
days_since_earthquake,0.0017316703
lag_56,0.0016401039
roll_mean_56,0.0015768913
quarter,0.0015709796
days_until_payday,0.0015268837
roll_mean_90,0.0015250215
store_vs_global,0.0014589694
doy_sin,0.0014212999
oil_lag_16,0.0014098769
dow_cos,0.0014009845
woy_cos,0.0013777014
roll_std_14,0.0013448849
month_cos,0.0013112744
oil_rmean_28,0.0012549361
is_any_holiday,0.0012518814
is_payday_last,0.0012455038
roll_std_56,0.0012359155
roll_std_28,0.0012310245
oil_lag_28,0.0012165537
roll_std_90,0.0012119268
sales_yoy_ratio,0.0012100857
lag_90,0.0012015139
is_earthquake_day,0.0011804211
is_holiday_weekend,0.0011791472
promo_roll_sum_28,0.0011729642
is_holiday_observed,0.0011710443
promo_lag_28,0.0011674296
woy_sin,0.0011462044
earthquake_impact,0.0011385842
sales_momentum,0.0011354756
days_since_payday,0.0011125415
month_sin,0.0011094908
promo_roll_sum_7,0.0011079918
is_payday,0.0011002831
oil_lag_21,0.0010957847
lag_365,0.0010862402
is_post_eq_week4,0.0010814054
is_post_eq_week1,0.0010725171
lag_371,0.0010628491
promo_rsum_lag16_win28,0.0010478875
is_post_eq_week3,0.0010320883
is_post_eq_week5_8,0.0010179945
is_transferred_flag,0.0010143515
is_payday_window,0.00099269
is_post_eq_week2,0.00095205463
weekofyear,0.0009190747
promo_rsum_lag16_win14,0.0008797157
is_payday_15th,0.0008610196
promo_rsum_lag16_win7,0.00080606365
year,0.00076068356
promo_lag_21,0.0007429281
promo_lag_16,0.0006933804
store_nbr,0.0006157919
is_work_day_comp,0.00052105624
family_group,0.0
