feature,importance
lag_7,0.3490261
lag_14,0.10883944
roll_mean_14,0.083845
roll_mean_28,0.039197523
is_weekend,0.025396384
lag_28,0.02524438
roll_mean_7,0.022730121
is_additional_holiday,0.018249406
lag_35,0.017812053
is_post_eq_week5_8,0.0155154215
family_vs_global,0.013145705
store_family_vs_global,0.012543584
lag_1,0.011468669
dayofweek,0.010660722
is_holiday_observed,0.009732473
is_payday_15th,0.00868899
dayofyear,0.008236337
roll_mean_56,0.007954031
days_until_payday,0.007434474
month,0.007125618
onpromotion,0.006663563
days_since_earthquake,0.006176803
lag_42,0.005988431
dow_sin,0.005763317
transactions,0.0050701434
is_any_holiday,0.004829385
oil_rmean_28,0.0047739567
woy_cos,0.004705518
is_holiday_weekend,0.0046896767
lag_90,0.0046187174
doy_cos,0.0045894203
promo_rsum_lag16_win28,0.004297744
month_cos,0.0042426568
lag_56,0.0038279567
oil_lag_16,0.0036537182
quarter,0.0036148673
dow_cos,0.0035172163
promo_rsum_lag16_win14,0.0034938194
is_payday,0.0034931735
oil_lag_21,0.003475155
roll_mean_90,0.0033956592
is_post_eq_week3,0.0033394338
weekofyear,0.0033167726
year,0.0033147442
family,0.0031593633
dayofmonth,0.0031121334
day,0.0030906503
roll_std_14,0.002940831
lag_365,0.002906631
days_since_payday,0.0028900537
roll_std_7,0.0028306926
promo_lag_16,0.0028005873
is_post_eq_week1,0.002785189
earthquake_impact,0.0027463164
doy_sin,0.0027422358
is_payday_last,0.0027385924
is_bridge_day,0.0027277912
oil_lag_28,0.0027276794
is_post_eq_week4,0.0027165222
lag_364,0.0026847299
roll_std_56,0.0026688857
is_payday_window,0.0026079428
woy_sin,0.0026066503
roll_std_90,0.0026033698
store_vs_global,0.0025953085
month_sin,0.0024976695
promo_lift_ratio,0.0024950877
roll_std_28,0.0024389902
lag_371,0.002415004
is_transferred_flag,0.0023450493
promo_roll_sum_7,0.0023287183
sales_yoy_ratio,0.0023217609
promo_roll_sum_28,0.0022218989
sales_momentum,0.0021973827
is_post_eq_week2,0.0021922889
promo_rsum_lag16_win7,0.0021567089
promo_lag_21,0.0018846315
promo_lag_28,0.0017424216
is_work_day_comp,0.0017381813
store_nbr,0.0014189882
is_earthquake_day,0.001224795
family_group,0.0
