feature,importance
roll_mean_7,0.59132713
lag_1,0.2188294
store_family_vs_global,0.028264182
family_vs_global,0.022579622
is_weekend,0.010825617
roll_std_7,0.006891233
dayofyear,0.0061021894
days_until_payday,0.0057306974
onpromotion,0.00543343
roll_mean_14,0.005050665
day,0.0035762354
is_any_holiday,0.0034678306
lag_14,0.003238127
dayofweek,0.0027300285
lag_42,0.002580843
dayofmonth,0.002549408
lag_7,0.0024799139
is_post_eq_week1,0.0024622104
transactions,0.0024559577
month_cos,0.0024432782
dow_sin,0.002422854
lag_371,0.0024134605
lag_56,0.0023903532
is_bridge_day,0.0023873106
roll_mean_28,0.002350364
oil_lag_16,0.0020746717
sales_yoy_ratio,0.0020185146
woy_cos,0.0019843592
roll_mean_56,0.0019161903
is_additional_holiday,0.0018220008
lag_28,0.001818888
lag_35,0.0017879254
oil_rmean_28,0.0016937302
roll_mean_90,0.0015603609
month,0.0015388794
dow_cos,0.0014822584
doy_cos,0.0014033782
lag_90,0.0013126237
oil_lag_28,0.0013115116
doy_sin,0.0012519538
quarter,0.0012400319
month_sin,0.0012159016
family,0.0012050761
store_vs_global,0.0010935937
promo_lift_ratio,0.0010671053
earthquake_impact,0.0010483748
roll_std_56,0.001028295
is_payday_last,0.0010126727
sales_momentum,0.0009830752
roll_std_90,0.0009823448
weekofyear,0.0009638211
is_post_eq_week2,0.00093810994
woy_sin,0.00093485543
year,0.0009307683
is_post_eq_week5_8,0.00090355874
days_since_payday,0.0008894474
lag_364,0.00088269275
oil_lag_21,0.0008783574
is_holiday_observed,0.0008440707
roll_std_14,0.00082658924
lag_365,0.00082159333
roll_std_28,0.0008166898
promo_roll_sum_28,0.00078997546
promo_roll_sum_7,0.00078682153
is_post_eq_week4,0.0007556032
is_post_eq_week3,0.0007305846
days_since_earthquake,0.00073038717
is_payday,0.00071017694
is_payday_window,0.0006803747
promo_lag_16,0.00067544385
is_holiday_weekend,0.0006604061
promo_rsum_lag16_win14,0.00065942336
is_payday_15th,0.0006552847
is_work_day_comp,0.0006504181
promo_rsum_lag16_win28,0.00064782
is_earthquake_day,0.0006154361
is_transferred_flag,0.00060885283
promo_lag_28,0.0005961235
promo_rsum_lag16_win7,0.0005458002
promo_lag_21,0.00053022866
store_nbr,0.00050421647
family_group,0.0
