feature,importance
roll_mean_7,0.4349303
lag_1,0.42954746
dayofyear,0.016367007
lag_7,0.00923218
family_vs_global,0.0065587703
days_until_payday,0.0056326273
is_any_holiday,0.0050023952
family,0.004610021
roll_std_7,0.00450824
dow_sin,0.0041512647
dayofweek,0.0041346014
onpromotion,0.0035769406
day,0.0034873656
oil_lag_16,0.0031859945
month_cos,0.0030349598
store_family_vs_global,0.002923098
dayofmonth,0.002840085
lag_14,0.0025124876
is_additional_holiday,0.0023403042
is_weekend,0.002339178
is_bridge_day,0.002237377
month_sin,0.002136469
transactions,0.0021145928
oil_rmean_28,0.002042822
sales_yoy_ratio,0.001955494
year,0.0017494832
lag_365,0.0017306613
is_holiday_observed,0.0016898119
month,0.0015952563
weekofyear,0.0015869419
is_post_eq_week1,0.0014919724
lag_42,0.0013147405
lag_35,0.0012980534
lag_364,0.0012976762
lag_371,0.0012177743
is_payday_last,0.0012088566
woy_cos,0.0011836932
promo_lift_ratio,0.0011133394
doy_cos,0.0011109338
is_payday,0.000989644
lag_56,0.0009777079
dow_cos,0.00087098393
roll_std_56,0.00083941605
roll_mean_56,0.00081733573
roll_mean_28,0.00080702454
sales_momentum,0.000771034
doy_sin,0.00075137714
earthquake_impact,0.0007343176
oil_lag_28,0.00070844224
store_vs_global,0.00070800347
is_post_eq_week2,0.0006607555
roll_std_14,0.0006502898
is_payday_window,0.0006325868
roll_mean_14,0.00060822006
lag_90,0.000551464
woy_sin,0.0004758887
is_holiday_weekend,0.00044619414
oil_lag_21,0.00043400915
promo_rsum_lag16_win28,0.00039304365
roll_std_90,0.00036891346
lag_28,0.0003666157
days_since_earthquake,0.00036011555
is_earthquake_day,0.000343062
roll_mean_90,0.00033956522
days_since_payday,0.00033321965
is_post_eq_week5_8,0.00032375962
promo_roll_sum_7,0.00027454752
quarter,0.00027292615
roll_std_28,0.0002558573
store_nbr,0.00022939687
is_payday_15th,0.00022621363
is_post_eq_week4,0.00022045514
promo_roll_sum_28,0.00019328407
promo_lag_21,0.00018780904
promo_lag_16,0.00016428607
is_transferred_flag,0.0001487912
promo_rsum_lag16_win7,0.00014210965
promo_rsum_lag16_win14,0.00013645217
promo_lag_28,0.00012597058
is_work_day_comp,0.00012463974
is_post_eq_week3,4.3124055e-05
family_group,0.0
