feature,importance
transactions,0.47405297
roll_mean_7,0.28480545
lag_7,0.09471993
lag_14,0.028136278
roll_mean_14,0.016425299
oil_lag_16,0.016135847
lag_28,0.0099652065
days_until_payday,0.0062427684
day,0.00585814
lag_56,0.005186527
dayofyear,0.0034029223
onpromotion,0.0033836665
is_weekend,0.0032130175
is_post_eq_week1,0.0027313798
roll_mean_28,0.0025291692
month_cos,0.002395168
lag_1,0.0022104774
dayofmonth,0.002144766
lag_35,0.001956347
store_family_vs_global,0.0015289884
dayofweek,0.001487871
is_additional_holiday,0.0012459909
is_bridge_day,0.0011551683
month,0.0011168533
roll_std_7,0.0010779642
roll_mean_90,0.001066285
store_vs_global,0.0009494716
family_vs_global,0.0009466966
sales_momentum,0.0009440468
lag_42,0.0009043712
earthquake_impact,0.00082135934
roll_mean_56,0.0007504582
oil_lag_28,0.0007403066
woy_sin,0.00072677335
is_any_holiday,0.0006923346
days_since_payday,0.0006920045
woy_cos,0.0006770287
is_holiday_weekend,0.00066848344
doy_cos,0.0006566311
family,0.00063319545
is_post_eq_week4,0.00062952726
dow_sin,0.00059803174
store_nbr,0.0005814486
year,0.0005610586
dow_cos,0.0005488579
is_earthquake_day,0.00053676515
is_work_day_comp,0.00050392153
is_holiday_observed,0.00049644825
roll_std_28,0.00049083104
is_payday_15th,0.0004895022
doy_sin,0.00047949498
days_since_earthquake,0.0004716075
roll_std_14,0.00046285655
lag_364,0.00043724166
is_post_eq_week5_8,0.0004355754
lag_90,0.0004307928
weekofyear,0.00041947974
is_payday_window,0.00041926498
oil_rmean_28,0.00037719886
oil_lag_21,0.000352063
is_transferred_flag,0.00033574353
is_payday_last,0.00033301555
month_sin,0.0003307102
promo_lift_ratio,0.0003292825
roll_std_90,0.00032411914
sales_yoy_ratio,0.00032112727
lag_365,0.00029072736
roll_std_56,0.00027609846
is_payday,0.00026341723
lag_371,0.0002624907
promo_roll_sum_28,0.00025656918
promo_rsum_lag16_win28,0.00024888356
promo_rsum_lag16_win14,0.00022923043
promo_roll_sum_7,0.00021562997
promo_lag_21,0.00020098504
promo_lag_28,0.00020025668
promo_lag_16,0.00019029925
is_post_eq_week2,0.00019027453
promo_rsum_lag16_win7,0.00018887983
is_post_eq_week3,0.00018656834
quarter,0.0001261364
family_group,0.0
