feature,importance
roll_mean_7,0.80559105
roll_mean_14,0.028164025
is_weekend,0.016762745
roll_mean_28,0.013237545
family_vs_global,0.01061116
lag_1,0.008663325
dayofyear,0.0064876955
day,0.0052889166
family,0.004820916
onpromotion,0.0044922717
dayofweek,0.004133518
transactions,0.003744179
store_family_vs_global,0.0035945482
lag_7,0.0031930534
lag_28,0.0027538927
is_additional_holiday,0.0025017785
is_bridge_day,0.0024443888
lag_14,0.0024009948
dayofmonth,0.001845893
month,0.0018456765
roll_std_7,0.001767385
days_until_payday,0.0017436511
days_since_earthquake,0.0017316298
lag_42,0.0016241958
promo_lift_ratio,0.0016101999
lag_35,0.0015669385
is_earthquake_day,0.0014474747
doy_cos,0.0014152547
roll_mean_90,0.0014007727
oil_lag_16,0.0013697791
roll_mean_56,0.0013381866
doy_sin,0.0013124504
lag_56,0.0012628078
year,0.0012600133
lag_364,0.0012523253
store_vs_global,0.0012510687
is_post_eq_week5_8,0.0012501922
woy_cos,0.0012430558
month_cos,0.001218474
dow_sin,0.0011977176
is_post_eq_week3,0.0011888936
month_sin,0.0011782474
is_holiday_observed,0.0011636022
oil_rmean_28,0.0011608988
dow_cos,0.0011339656
earthquake_impact,0.0011326646
is_any_holiday,0.0011246818
roll_std_14,0.001123221
roll_std_90,0.0011091923
is_post_eq_week4,0.0011077565
is_post_eq_week2,0.0010973597
is_holiday_weekend,0.001093577
is_payday,0.0010651943
is_payday_last,0.0010625793
roll_std_28,0.0010548241
roll_std_56,0.001048815
is_post_eq_week1,0.0010459232
woy_sin,0.0010260443
sales_yoy_ratio,0.001010945
oil_lag_28,0.0009954374
is_payday_15th,0.000992695
weekofyear,0.0009640218
store_nbr,0.00096223544
lag_90,0.00094626984
days_since_payday,0.0009433672
promo_roll_sum_28,0.0009348506
oil_lag_21,0.0009308168
sales_momentum,0.0009269545
promo_rsum_lag16_win28,0.0009092759
is_transferred_flag,0.0008947447
lag_365,0.00088208524
is_payday_window,0.0008780355
lag_371,0.00087119755
promo_lag_28,0.0008299967
promo_roll_sum_7,0.00082093093
promo_rsum_lag16_win14,0.00071809394
is_work_day_comp,0.0006438825
promo_rsum_lag16_win7,0.0006257557
promo_lag_16,0.0005767249
promo_lag_21,0.00057457224
quarter,0.00040855765
family_group,0.0
