feature,importance
lag_7,0.34278923
lag_14,0.10902854
roll_mean_14,0.09111675
is_weekend,0.04595553
roll_mean_28,0.0388795
roll_mean_7,0.020472959
lag_28,0.019133123
is_additional_holiday,0.017258488
dayofweek,0.016561437
is_payday_15th,0.014640648
lag_1,0.013781863
is_post_eq_week5_8,0.012977764
family_vs_global,0.012090141
lag_35,0.011683787
store_family_vs_global,0.011060104
is_holiday_observed,0.00946093
onpromotion,0.00943372
dayofyear,0.008893434
days_since_earthquake,0.007827852
days_until_payday,0.0065654786
promo_rsum_lag16_win14,0.0061255204
family,0.0056035677
month,0.005578314
day,0.0054416554
weekofyear,0.005339766
roll_mean_56,0.005308615
transactions,0.004920386
oil_rmean_28,0.004685933
promo_rsum_lag16_win28,0.0046292315
is_any_holiday,0.0044888915
month_sin,0.004386538
woy_cos,0.003999075
month_cos,0.003933759
lag_42,0.0039151153
promo_rsum_lag16_win7,0.0039087594
doy_cos,0.0037284421
lag_90,0.0035567032
roll_mean_90,0.0031147597
oil_lag_21,0.0030272612
is_bridge_day,0.002929355
oil_lag_16,0.002872669
lag_56,0.002846686
doy_sin,0.0028324819
dow_sin,0.0028188184
is_payday,0.0027568734
dayofmonth,0.0027436507
is_post_eq_week3,0.002715173
days_since_payday,0.0026480663
is_earthquake_day,0.002521988
earthquake_impact,0.0025176464
is_payday_last,0.0024925766
oil_lag_28,0.0024343992
dow_cos,0.0023945838
roll_std_56,0.0023734453
year,0.002293773
store_vs_global,0.0022848397
roll_std_90,0.002249627
quarter,0.0022317746
is_transferred_flag,0.0022297755
roll_std_14,0.002197132
is_post_eq_week4,0.0021934228
lag_365,0.0021594744
promo_lift_ratio,0.0021562385
woy_sin,0.0021561144
roll_std_7,0.0021432939
is_holiday_weekend,0.0021326512
lag_364,0.0021280071
is_post_eq_week2,0.0021126482
roll_std_28,0.0020793907
sales_yoy_ratio,0.0019900964
is_payday_window,0.0019736795
promo_roll_sum_7,0.0019530194
store_nbr,0.0019433378
is_work_day_comp,0.0019308593
lag_371,0.0018639553
promo_roll_sum_28,0.001840022
sales_momentum,0.001800083
promo_lag_28,0.001740155
promo_lag_21,0.001739873
is_post_eq_week1,0.0016429891
promo_lag_16,0.0016317962
family_group,0.0
