feature,importance
roll_mean_7,0.64579993
lag_1,0.18943267
is_weekend,0.018053455
family_vs_global,0.01527386
days_until_payday,0.014894454
store_family_vs_global,0.010290842
dayofyear,0.009205641
onpromotion,0.0062491046
day,0.0046337503
dayofweek,0.004166751
month_cos,0.0041194484
roll_mean_14,0.0035478012
lag_14,0.0032351972
lag_371,0.002714311
roll_mean_56,0.0020942837
lag_7,0.0020142493
transactions,0.001983042
dayofmonth,0.0019114057
roll_std_7,0.0018883212
sales_yoy_ratio,0.0018851237
is_additional_holiday,0.0017505481
lag_42,0.0015639481
oil_rmean_28,0.0015549478
woy_cos,0.0015348766
family,0.0015090386
roll_mean_28,0.0014579066
lag_56,0.0014331555
month,0.0014268922
oil_lag_16,0.0013626143
lag_35,0.0013563621
lag_28,0.0013511444
year,0.0013480403
is_post_eq_week1,0.0013363496
roll_mean_90,0.0012863368
dow_sin,0.0012211727
oil_lag_28,0.001139062
doy_cos,0.0011385255
weekofyear,0.0011080917
doy_sin,0.0010414278
promo_lift_ratio,0.000996663
lag_364,0.0009866378
earthquake_impact,0.00097301
is_post_eq_week2,0.0009684227
lag_90,0.0009669395
is_bridge_day,0.0009452013
store_vs_global,0.00093502284
is_payday_last,0.0009174348
month_sin,0.00091617217
roll_std_90,0.0009036211
is_any_holiday,0.0008861775
is_holiday_observed,0.0008744348
dow_cos,0.0008375569
woy_sin,0.0008056438
sales_momentum,0.000795493
is_post_eq_week3,0.0007776532
is_earthquake_day,0.00076757814
is_post_eq_week4,0.00073676306
is_post_eq_week5_8,0.0007351689
oil_lag_21,0.0007246429
days_since_payday,0.00071781746
roll_std_56,0.0007141942
roll_std_14,0.000709255
roll_std_28,0.00070299616
days_since_earthquake,0.0007020759
is_holiday_weekend,0.0007009694
store_nbr,0.00068767497
promo_roll_sum_28,0.000673761
is_payday,0.00064851134
lag_365,0.0006401987
promo_roll_sum_7,0.0006336681
is_payday_15th,0.00060972915
is_transferred_flag,0.00060772605
is_payday_window,0.00058128935
promo_lag_16,0.0005798046
promo_rsum_lag16_win28,0.00053411274
promo_lag_28,0.00051966845
promo_rsum_lag16_win14,0.0005048217
promo_lag_21,0.0005038492
promo_rsum_lag16_win7,0.0004316409
quarter,0.00041832423
is_work_day_comp,0.00041358586
family_group,0.0
