feature,importance
lag_1,0.6702202
roll_mean_7,0.16613162
dayofyear,0.027962137
days_until_payday,0.016565511
family,0.010585266
lag_7,0.009334934
dayofweek,0.009254145
day,0.007943182
onpromotion,0.006100559
weekofyear,0.0057346905
month_cos,0.0046349512
is_post_eq_week1,0.0042148586
store_family_vs_global,0.004120656
dow_sin,0.004071777
month,0.0029048154
year,0.0028561961
is_any_holiday,0.002504248
is_payday_last,0.0024847277
is_additional_holiday,0.002467829
dayofmonth,0.0021885072
sales_yoy_ratio,0.0019765503
lag_365,0.0018533242
month_sin,0.0017982065
roll_std_7,0.001714318
lag_14,0.0016698651
transactions,0.0016164674
lag_35,0.0014432465
oil_rmean_28,0.0011981544
store_vs_global,0.0011706197
woy_cos,0.0011705736
promo_lift_ratio,0.0011145582
lag_371,0.0010788864
oil_lag_16,0.0010361078
is_weekend,0.0009728534
days_since_earthquake,0.00093005877
doy_sin,0.00087510166
lag_42,0.00085042324
lag_364,0.0008122832
is_bridge_day,0.0007252037
earthquake_impact,0.00066169736
lag_56,0.0006580448
is_post_eq_week2,0.00062293437
roll_std_56,0.0005474521
oil_lag_28,0.0005419891
doy_cos,0.0005388576
dow_cos,0.00051758485
sales_momentum,0.00050662865
store_nbr,0.00048656834
roll_mean_14,0.00047027742
family_vs_global,0.00042749423
roll_mean_28,0.0004075178
is_holiday_observed,0.00040148103
woy_sin,0.00037724688
is_payday_15th,0.00036808872
roll_std_90,0.00036796596
roll_mean_90,0.00035601878
roll_std_14,0.00035285027
is_holiday_weekend,0.00035199834
oil_lag_21,0.00035188653
lag_90,0.00035130556
is_earthquake_day,0.00032521578
promo_rsum_lag16_win28,0.00031773731
lag_28,0.00031763423
is_post_eq_week5_8,0.00030662972
roll_mean_56,0.00029324033
days_since_payday,0.00027753884
is_payday_window,0.0002656006
is_payday,0.00025283467
is_post_eq_week4,0.00025006634
roll_std_28,0.00022568554
promo_roll_sum_28,0.00018445592
promo_roll_sum_7,0.00015695849
promo_lag_21,0.000156703
promo_lag_16,0.00013579833
promo_lag_28,0.00013049255
promo_rsum_lag16_win14,0.00012058553
promo_rsum_lag16_win7,0.000112476526
is_transferred_flag,8.325441e-05
is_work_day_comp,5.8858765e-05
is_post_eq_week3,4.290392e-05
quarter,3.1778905e-05
family_group,0.0
